INST CYCLE PERC BEST FIT SOL
PARM 0 30 42.97052154195011 42.97052154195011 [00000001000000001111100001100000000000000000110100000000000011010011100000000011000100000000000000]
PARM 1 30 42.857142857142854 42.857142857142854 [10100100001000011101101000110000000000000000110000000000000100011011000000111100000000000000000000]
PARM 2 30 44.21768707482993 44.21768707482993 [00000100000000011100011100110000000000000000110100000000000001011010000000001100001100000000000000]
PARM 3 30 43.65079365079365 43.65079365079365 [10110100001000011001011100100000000000000000111000000000000111101010000000000001001100000000000000]
PARM 4 30 43.42403628117914 43.42403628117914 [10000100001000011111011100110000000000000001110100000000000000011111000000001000001100000000000000]
PARM 5 30 43.65079365079365 43.65079365079365 [00000100000000000111111000011000000000000001111100000000000001111011000000000000111100000000000000]
PARM 6 30 44.10430839002267 44.10430839002267 [00000100001000010111011101000000000000000001111100000000000101000010000000000001011100000000000000]
PARM 7 30 44.10430839002267 44.10430839002267 [00000100000000001111111011111000000000000001110100000000000111000011000000000000000100000000000000]
PARM 8 30 44.78458049886621 44.78458049886621 [00100000001000000100011001110000000000000000111000000000000001110010000000000001001100000000000000]
PARM 9 30 42.06349206349206 42.06349206349206 [00000000001000010101000000010000000000000001110100000000000111111101000000000011011100000000000000]
PARM 10 30 43.53741496598639 43.53741496598639 [10100000001000000111111101100000000000000001110000000000000011101011000000000100000100000000000000]
PARM 11 30 42.97052154195011 42.97052154195011 [10000100001000000001101001100000000000000001111100000000000101100110000000000011000101000000000000]
PARM 12 30 43.99092970521542 43.99092970521542 [10000100001000011111111101000000000000000000111000000000000101100011000000000101001100000000000000]
PARM 13 30 42.97052154195011 42.97052154195011 [10110000000001000101011001000000000000000001110100000000000000010011000000000011000100000000000000]
PARM 14 30 42.40362811791383 42.40362811791383 [10100100000000000101101001010000000000000001110100000000000011001100000000001101000000000000000000]
PARM 15 30 43.42403628117914 43.42403628117914 [10100000100000000110000011110000000000000001110000000000000001011010000000000001000100000000000000]
PARM 16 30 45.01133786848072 45.01133786848072 [00100000000000010111011001110000000000000000111000000000000101001011000000000001000100000000000000]
PARM 17 30 43.197278911564624 43.197278911564624 [10110101001011010101011001100000000000000000111000000000000101010011000000000001000000000000000000]
PARM 18 30 43.65079365079365 43.65079365079365 [10101100001000000110110000101000000000000001110100000000000001100010000000000011001100000000000000]
PARM 19 30 44.10430839002267 44.10430839002267 [00110100001000001101001000110000000000000000111000000000000100011010000000000011000100000000000000]
PARM 20 30 43.99092970521542 43.99092970521542 [10000100000000000110111101110000000000000001111100000000000101110110000000000100001100000000000000]
PARM 21 30 42.51700680272109 42.51700680272109 [11100001000000000100111000110000000000000000110100000000000000000000000000001001101100000000000000]
PARM 22 30 43.08390022675737 43.08390022675737 [10000100001000000001101001100000000000000001110000000000000111000111000000000101001100000000000000]
PARM 23 30 44.10430839002267 44.10430839002267 [00110000000000011100101100111000000000000001111100000000000100101010000000000011001100000000000000]
PARM 24 30 43.31065759637188 43.31065759637188 [10100100001000001101010100011000000000000000010100000000000001000010000000000001000100000000000000]
PARM 25 30 45.23809523809524 45.23809523809524 [00000100000000001111011000110000000000000001111100000000000101000010000000000011001100000000000000]
PARM 26 30 43.87755102040816 43.87755102040816 [10100000001000000100011101100000000000000001111100000000000010010011000000000001000100000000000000]
PARM 27 30 42.857142857142854 42.857142857142854 [10000101001000010111111000100000000000000001111000000000000001110011000000110100000000000000000000]
PARM 28 30 43.197278911564624 43.197278911564624 [10110100001000001100000010101000000000000000110100000000000100111011000000000011000100000000000000]
PARM 29 30 43.87755102040816 43.87755102040816 [10100100001000011101100101110000000000000000111100000000000101010001000000000011000100000000000000]
