APLICACAO;DISTRIBUICAO;TEMPOEXECUCAO;VALOR;CICLO;NUMEROSDERESTART
SEEMP;PSEUD;874;19.00;0;256
SEEMP;PSEUD;905;19.00;1;258
SEEMP;PSEUD;890;19.00;2;255
SEEMP;PSEUD;889;19.00;3;262
SEEMP;PSEUD;891;19.00;4;265
SEEMP;PSEUD;889;19.00;5;257
SEEMP;PSEUD;890;19.00;6;256
SEEMP;PSEUD;889;19.00;7;253
SEEMP;PSEUD;890;19.00;8;263
SEEMP;PSEUD;890;19.00;9;254
SEEMP;PSEUD;889;19.00;10;259
SEEMP;PSEUD;890;19.00;11;259
SEEMP;PSEUD;889;19.00;12;260
SEEMP;PSEUD;906;19.00;13;261
SEEMP;PSEUD;889;19.00;14;264
SEEMP;PSEUD;890;19.00;15;258
SEEMP;PSEUD;890;19.00;16;258
SEEMP;PSEUD;891;19.00;17;262
SEEMP;PSEUD;889;19.00;18;257
SEEMP;PSEUD;892;19.00;19;259
SEEMP;PSEUD;921;19.00;20;261
SEEMP;PSEUD;923;19.00;21;260
SEEMP;PSEUD;905;19.00;22;259
SEEMP;PSEUD;890;19.00;23;255
SEEMP;PSEUD;905;19.00;24;262
SEEMP;PSEUD;890;19.00;25;260
SEEMP;PSEUD;889;19.00;26;263
SEEMP;PSEUD;955;19.00;27;257
SEEMP;PSEUD;951;19.00;28;262
SEEMP;PSEUD;896;19.00;29;264
SEEMP;SOBOL;906;19.00;0;231
JXLSCORE;PSEUD;43712;88.00;0;54
JXLSCORE;PSEUD;43697;88.00;1;54
JXLSCORE;PSEUD;43712;88.00;2;54
JXLSCORE;PSEUD;43697;87.00;3;53
JXLSCORE;PSEUD;43681;88.00;4;54
JXLSCORE;PSEUD;43743;88.00;5;53
JXLSCORE;PSEUD;43728;89.00;6;55
JXLSCORE;PSEUD;43681;88.00;7;53
JXLSCORE;PSEUD;43743;88.00;8;53
JXLSCORE;PSEUD;43744;88.00;9;55
JXLSCORE;PSEUD;43635;87.00;10;54
JXLSCORE;PSEUD;43650;87.00;11;54
JXLSCORE;PSEUD;43649;88.00;12;53
JXLSCORE;PSEUD;43682;88.00;13;54
JXLSCORE;PSEUD;43649;88.00;14;54
JXLSCORE;PSEUD;43666;88.00;15;53
JXLSCORE;PSEUD;43665;87.00;16;53
JXLSCORE;PSEUD;43666;88.00;17;54
JXLSCORE;PSEUD;43665;88.00;18;54
JXLSCORE;PSEUD;43635;89.00;19;53
JXLSCORE;PSEUD;43665;88.00;20;53
JXLSCORE;PSEUD;43666;87.00;21;54
JXLSCORE;PSEUD;43665;88.00;22;53
JXLSCORE;PSEUD;43650;88.00;23;54
JXLSCORE;PSEUD;43650;89.00;24;53
JXLSCORE;PSEUD;43681;88.00;25;54
JXLSCORE;PSEUD;43666;87.00;26;54
JXLSCORE;PSEUD;43790;88.00;27;55
JXLSCORE;PSEUD;43665;88.00;28;54
JXLSCORE;PSEUD;43681;87.00;29;54
JXLSCORE;SOBOL;42979;87.00;0;22
XMLAPI;PSEUD;996392;104.00;0;31
XMLAPI;PSEUD;994957;107.00;1;30
XMLAPI;PSEUD;995455;106.00;2;30
XMLAPI;PSEUD;995519;107.00;3;31
XMLAPI;PSEUD;994955;105.00;4;30
XMLAPI;PSEUD;994939;105.00;5;30
XMLAPI;PSEUD;995769;104.00;6;30
XMLAPI;PSEUD;995596;108.00;7;31
XMLAPI;PSEUD;994630;107.00;8;30
XMLAPI;PSEUD;995659;106.00;9;31
XMLAPI;PSEUD;998106;106.00;10;31
XMLAPI;PSEUD;998996;104.00;11;30
XMLAPI;PSEUD;999214;107.00;12;30
XMLAPI;PSEUD;998403;106.00;13;31
XMLAPI;PSEUD;998543;105.00;14;30
XMLAPI;PSEUD;998481;105.00;15;30
XMLAPI;PSEUD;997716;105.00;16;31
XMLAPI;PSEUD;997952;105.00;17;30
XMLAPI;PSEUD;997951;103.00;18;30
XMLAPI;PSEUD;998028;108.00;19;30
XMLAPI;PSEUD;998013;106.00;20;30
XMLAPI;PSEUD;998730;104.00;21;30
XMLAPI;PSEUD;998730;104.00;22;30
XMLAPI;PSEUD;998590;107.00;23;30
XMLAPI;PSEUD;998434;105.00;24;31
XMLAPI;PSEUD;998574;106.00;25;30
XMLAPI;PSEUD;997795;105.00;26;31
XMLAPI;PSEUD;998667;106.00;27;30
XMLAPI;PSEUD;998637;105.00;28;30
XMLAPI;PSEUD;998528;104.00;29;30
XMLAPI;SOBOL;970713;105.00;0;6
JAVAOCR;PSEUD;11279;46.00;0;74
JAVAOCR;PSEUD;11280;46.00;1;75
JAVAOCR;PSEUD;11264;46.00;2;74
JAVAOCR;PSEUD;11280;46.00;3;77
JAVAOCR;PSEUD;11280;46.00;4;73
JAVAOCR;PSEUD;11280;46.00;5;74
JAVAOCR;PSEUD;11280;46.00;6;76
JAVAOCR;PSEUD;11280;46.00;7;74
JAVAOCR;PSEUD;11280;46.00;8;74
JAVAOCR;PSEUD;11311;46.00;9;75
JAVAOCR;PSEUD;11264;46.00;10;75
JAVAOCR;PSEUD;11265;46.00;11;74
JAVAOCR;PSEUD;11249;46.00;12;74
JAVAOCR;PSEUD;11248;46.00;13;74
JAVAOCR;PSEUD;11264;46.00;14;74
JAVAOCR;PSEUD;11251;46.00;15;74
JAVAOCR;PSEUD;11266;46.00;16;75
JAVAOCR;PSEUD;11249;46.00;17;74
JAVAOCR;PSEUD;11249;46.00;18;74
JAVAOCR;PSEUD;11264;46.00;19;75
JAVAOCR;PSEUD;11263;46.00;20;75
JAVAOCR;PSEUD;11264;46.00;21;75
JAVAOCR;PSEUD;11265;46.00;22;74
JAVAOCR;PSEUD;11251;46.00;23;74
JAVAOCR;PSEUD;11264;46.00;24;74
JAVAOCR;PSEUD;11264;46.00;25;74
JAVAOCR;PSEUD;11249;46.00;26;74
JAVAOCR;PSEUD;11234;46.00;27;75
JAVAOCR;PSEUD;11249;46.00;28;73
JAVAOCR;PSEUD;11264;46.00;29;75
JAVAOCR;SOBOL;11404;46.00;0;52
DOM4J;PSEUD;1282512;181.00;0;27
DOM4J;PSEUD;1284104;184.00;1;27
DOM4J;PSEUD;1280937;183.00;2;27
DOM4J;PSEUD;1282230;183.00;3;27
DOM4J;PSEUD;1282323;182.00;4;27
