APLICACAO;DISTRIBUICAO;TEMPOEXECUCAO;VALOR;CICLO;NUMEROSDERESTART
SEEMP;PSEUD;1311;4.65;0;134
SEEMP;PSEUD;1265;4.65;1;134
SEEMP;PSEUD;1281;4.65;2;132
SEEMP;PSEUD;1280;4.62;3;133
SEEMP;PSEUD;1281;4.65;4;135
SEEMP;PSEUD;1280;4.65;5;131
SEEMP;PSEUD;1280;4.65;6;137
SEEMP;PSEUD;1267;4.65;7;134
SEEMP;PSEUD;1295;4.65;8;138
SEEMP;PSEUD;1281;4.65;9;136
SEEMP;PSEUD;1280;4.65;10;137
SEEMP;PSEUD;1296;4.65;11;134
SEEMP;PSEUD;1280;4.65;12;136
SEEMP;PSEUD;1296;4.65;13;135
SEEMP;PSEUD;1295;4.62;14;137
SEEMP;PSEUD;1265;4.62;15;136
SEEMP;PSEUD;1296;4.65;16;134
SEEMP;PSEUD;1296;4.65;17;134
SEEMP;PSEUD;1295;4.65;18;137
SEEMP;PSEUD;1296;4.65;19;137
SEEMP;PSEUD;1280;4.65;20;135
SEEMP;PSEUD;1296;4.65;21;135
SEEMP;PSEUD;1296;4.65;22;136
SEEMP;PSEUD;1311;4.65;23;137
SEEMP;PSEUD;1312;4.65;24;136
SEEMP;PSEUD;1280;4.62;25;135
SEEMP;PSEUD;1280;4.65;26;133
SEEMP;PSEUD;1296;4.65;27;134
SEEMP;PSEUD;1311;4.65;28;133
SEEMP;PSEUD;1296;4.65;29;133
SEEMP;SOBOL;1685;4.65;0;130
JXLSCORE;PSEUD;55662;9.16;0;33
JXLSCORE;PSEUD;55662;9.23;1;34
JXLSCORE;PSEUD;55755;9.12;2;34
JXLSCORE;PSEUD;55725;9.17;3;34
JXLSCORE;PSEUD;55724;9.04;4;34
JXLSCORE;PSEUD;55709;9.15;5;33
JXLSCORE;PSEUD;55615;9.25;6;34
JXLSCORE;PSEUD;55818;9.15;7;34
JXLSCORE;PSEUD;55786;9.34;8;32
JXLSCORE;PSEUD;55678;9.01;9;33
JXLSCORE;PSEUD;55708;9.04;10;33
JXLSCORE;PSEUD;55679;9.09;11;34
JXLSCORE;PSEUD;55662;9.24;12;33
